iter	Passed	Remaining
0	10	3038
1	20	2989
2	29	2919
3	39	2892
4	48	2877
5	59	2909
6	69	2910
7	79	2889
8	88	2862
9	97	2818
10	104	2757
11	111	2681
12	117	2602
13	123	2525
14	128	2449
15	134	2378
16	138	2311
17	143	2249
18	148	2197
19	153	2145
20	158	2103
21	163	2065
22	168	2028
23	173	1995
24	178	1962
25	183	1929
26	187	1899
27	192	1871
28	197	1845
29	202	1823
30	207	1802
31	213	1784
32	217	1763
33	222	1741
34	227	1722
35	232	1707
36	238	1693
37	243	1679
38	248	1665
39	254	1656
40	261	1649
41	267	1640
42	272	1628
43	278	1617
44	283	1608
45	289	1597
46	294	1586
47	300	1575
48	305	1562
49	309	1548
50	314	1535
51	319	1524
52	325	1514
53	331	1508
54	336	1499
55	341	1488
56	346	1477
57	351	1466
58	355	1453
59	361	1444
60	366	1435
61	371	1425
62	376	1414
63	381	1405
64	386	1395
65	391	1387
66	396	1379
67	401	1369
68	407	1364
69	412	1355
70	417	1345
71	422	1337
72	428	1331
73	433	1324
74	439	1318
75	444	1310
76	449	1301
77	454	1294
78	459	1286
79	465	1279
80	469	1270
81	474	1262
82	479	1253
83	484	1247
84	490	1239
85	495	1231
86	499	1223
87	504	1216
88	510	1209
89	514	1201
90	519	1193
91	525	1187
92	530	1180
93	534	1172
94	540	1165
95	544	1157
96	550	1151
97	555	1144
98	560	1137
99	564	1129
100	569	1122
101	574	1115
102	579	1108
103	584	1100
104	589	1094
105	593	1086
106	598	1079
107	603	1072
108	608	1065
109	613	1059
110	617	1052
111	622	1045
112	627	1038
113	632	1031
114	637	1024
115	642	1018
116	647	1012
117	652	1005
118	657	999
119	661	992
120	666	986
121	671	979
122	676	973
123	680	966
124	685	960
125	690	953
126	695	947
127	699	940
128	704	934
129	709	927
130	714	921
131	719	915
132	723	908
133	728	902
134	733	896
135	738	890
136	742	883
137	747	877
138	752	871
139	757	865
140	762	859
141	766	853
142	771	847
143	776	841
144	781	835
145	786	829
146	791	823
147	795	817
148	800	811
149	805	805
150	810	799
151	815	793
152	820	788
153	825	782
154	831	777
155	836	772
156	842	767
157	847	761
158	852	755
159	856	749
160	861	743
161	866	738
162	871	732
163	876	726
164	880	720
165	885	714
166	890	709
167	895	703
168	900	697
169	904	692
170	909	686
171	914	680
172	919	674
173	924	669
174	928	663
175	933	657
176	938	652
177	943	646
178	948	641
179	954	636
180	960	631
181	966	626
182	972	621
183	977	616
184	983	611
185	988	606
186	994	601
187	1001	596
188	1007	591
189	1014	587
190	1020	582
191	1025	577
192	1031	571
193	1036	566
194	1043	561
195	1050	557
196	1055	552
197	1061	546
198	1066	541
199	1070	535
200	1076	530
201	1080	524
202	1085	518
203	1090	513
204	1095	507
205	1100	502
206	1105	496
207	1109	490
208	1114	485
209	1119	479
210	1124	474
211	1129	468
212	1134	463
213	1138	457
214	1143	452
215	1148	446
216	1153	441
217	1158	435
218	1162	430
219	1167	424
220	1172	419
221	1177	413
222	1181	408
223	1186	402
224	1191	397
225	1195	391
226	1201	386
227	1206	381
228	1211	375
229	1215	370
230	1220	364
231	1225	359
232	1230	353
233	1235	348
234	1240	343
235	1245	337
236	1249	332
237	1254	326
238	1259	321
239	1264	316
240	1268	310
241	1273	305
242	1278	299
243	1283	294
244	1288	289
245	1293	283
246	1298	278
247	1303	273
248	1308	267
249	1313	262
250	1318	257
251	1322	251
252	1327	246
253	1332	241
254	1337	235
255	1342	230
256	1346	225
257	1351	220
258	1356	214
259	1361	209
260	1366	204
261	1370	198
262	1375	193
263	1380	188
264	1384	182
265	1389	177
266	1394	172
267	1399	167
268	1403	161
269	1408	156
270	1413	151
271	1417	145
272	1422	140
273	1427	135
274	1432	130
275	1437	124
276	1441	119
277	1446	114
278	1451	109
279	1456	104
280	1461	98
281	1465	93
282	1470	88
283	1475	83
284	1479	77
285	1484	72
286	1489	67
287	1494	62
288	1499	57
289	1504	51
290	1509	46
291	1514	41
292	1518	36
293	1523	31
294	1528	25
295	1533	20
296	1539	15
297	1544	10
298	1549	5
299	1554	0
